제천대성	齊天大聖
- 재료 장비가 많아 질수록 각성할 확률이 올라갑니다.	- 材料裝備越多，覺醒機率越高。
(동일한 장비를 재료로 사용 시 더욱 확률이 올라갑니다.)\n	（使用同一裝備作為材料可以額外提高成功機率。）\n
각성단계에 따라 능력치가 더욱 상승합니다.	根據覺醒階段，能力值提升更多。
장신구 각성	飾品覺醒
* 장신구를 각성시키면 랜덤하게 장신구의 능력치를 상승 시킬 수 있습니다.\n	* 覺醒飾品可以令其隨機屬性提升。\n
- "6성 원본장신구" + "6성 재료장신구" + "골드"를 이용하여 확률적으로 각성 할 수 있습니다.	-可以使用“6星原有裝備”+“6星材料飾品”+“金幣”以一定機率進行覺醒。
- 재료 장신구가 많아 질수록 각성할 확률이 올라갑니다.	- 材料的飾品越多，覺醒機率越高。
(동일한 장신구를 재료로 사용 시 더욱 확률이 올라갑니다.)\n	（使用相同的裝飾品時作為材料時, 機率會更具上升。）\n
- 최대 10단계 까지 각성 할 수 있고,	- 最高可以覺醒到第10階段，
각성단계에 따라 능력치가 더욱 상승합니다.	根據覺醒階段，屬性提升更多。
※고객센터로 이메일을 발송합니다. 정확한 문의 확인 및 처리를 위하여 꼭 [계정닉네임]을 본문에 기재해주세요.	※將發送電子郵件至客戶服務中心。為了正確解決疑難問題，請將[帳號暱稱]記載於正文中。
※PC에뮬레이터의 경우 '이메일 App'의 정상 동작 여부에 따라 사용이 불가할 수 있습니다.	※若使用模擬器進行遊戲，有可能因“E-mail應用程式”正確啟動與否，無法正常使用。
※회신 받으실 이메일 주소를 반드시 확인하시기 바랍니다.	※請確認要得到回覆的電子信箱地址。
※'전자상거래 등에서의 소비자보호에 관한 법률' 관련 법 규정에 의해 수신된 이메일주소 및 문의내역은 당사 수집 후 3년간 보존이 가능합 니다.	※根據“關於電子商務的消費者權益保護法”，收集的電子郵件地址及提交的問題內容，本公司最多保存三年。
※이메일 주소 수집을 원치 않으시는 경우 상단의 X를 눌러주세요.	※如果不希望收集電子郵件地址，請點擊上端的X。
고객센터 (e-mail)	客服（電子郵件）
메일 발송	發送郵件
차력 공격력 증가 / 팀 궁극스킬 피해량 증가	借力攻擊力增加/隊伍終極技能傷害量增加
팀 방어력 증가 / 적 치명타 피해량 감소	隊伍防御力增加/敵方暴擊傷害降低
피해량 증가 / 추가 데미지	傷害量增加/基本攻擊傷害量增加
팀 차력공격 피해반사 / 팀 모든 스킬 피해량 감소	隊伍借力攻擊傷害反射/減少隊伍技能傷害量
[0]각성 마술사 전재산은 자신을 중심으로 지진을 일으키고 화상효과를 부여합니다.	[0]覺醒全載山在自己周圍引起地震,並給目標造成燃燒效果。
[1]쿨타임: [CoolTime]초\n반경 4m 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 피해량 [SkillAmount1]%의 화상 [ContinueTime]초	[1]冷卻時間：[CoolTime]秒\n在半徑4m範圍內進行傷害量[SkillAmount0]%的攻擊\n[ContinueTime]秒內追加造成傷害量[SkillAmount1]%的燃燒傷害
[0]각성 마술사 전재산의 마력은 가장 기본적인 마법인 매직 미사일조차 치명적인 위력을 발휘하게하며 화상 효과를 부여합니다.	[0]覺醒全載山的魔力可以使最基礎魔法的魔法導彈發揮致命威力,並給目標造成燃燒傷害。
[1]쿨타임: [CoolTime]초\n전방 8m 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 피해량 [SkillAmount1]%의 화상 [ContinueTime]초	[1]冷卻時間：[CoolTime]秒\n在前方8m範圍內進行傷害量[SkillAmount0]%的攻擊\n[ContinueTime]秒內追加造成傷害量[SkillAmount1]%的燃燒傷害
[0]각성 마술사 전재산의 운석소환은 여러 개의 운석을 소환하여 모든 적을 타격하고 화상효과를 부여하는 강력한 궁극기입니다.	"[0]覺醒全載山的召喚隕石能夠
[1]쿨타임: [CoolTime]초\n전체 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 피해량 [SkillAmount1]%의 화상 [ContinueTime]초	[1]冷卻時間：[CoolTime]秒\n在整體範圍內進行傷害量[SkillAmount0]%的攻擊\n[ContinueTime]秒內追加造成傷害量[SkillAmount1]%的燃燒傷害
[0]각성 마술사 전재산은 끝을 알 수 없는 마력에 의해 팀의 궁극 스킬 피해량과 자신의 차력 공격력이 증가 합니다.	[0]覺醒全載山無窮無盡的魔力可提升隊伍的終極技能傷害量和自身的借力攻擊力。
[1]자신의 차력 공격력 [SkillAmount0]% 증가\n추가적으로 팀의 궁극 스킬 피해량 [SkillAmount1]%증가	[1]自身借力攻擊力提升[SkillAmount0]%\n隊伍的終極技能傷害量增加[SkillAmount1]%
[0]각성 학생 김두식의 가벼운 앞차기는 전방의 적을 날려버리기에 충분합니다. 추가적으로 적의 방어력을 감소시킵니다.	[0]]覺醒學生金斗植的威力極小的前踢可以將前方目標踢飛,並降低其防禦力。
[1]쿨타임: [CoolTime]초\n전방 6m 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 [ContinueTime]초간 적의 방어력 [SkillAmount1]% 감소	[1]冷卻時間：[CoolTime]秒\n在前方6m範圍內進行傷害量[SkillAmount0]%的攻擊\n[ContinueTime]秒內目標防禦力降低[SkillAmount1]%
[0]각성 학생 김두식의 포효는 주위의 적들을 날려버릴만큼 강력합니다. 추가적으로 적의 방어력을 감소시킵니다.	[0]覺醒學生金斗植的咆哮可以擊飛周圍目標,並降低其防禦力。
[1]쿨타임: [CoolTime]초\n반경 3m 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 [ContinueTime]초간 적의 방어력 [SkillAmount1]% 감소	[1]冷卻時間：[CoolTime]秒\n在半徑3m範圍內進行傷害量[SkillAmount0]%的攻擊\n[ContinueTime]秒內目標防禦力降低[SkillAmount1]%
[0]각성 학생 김두식의 전력을 다한 펀치는 모든 적을 일격에 KO 시킬만큼 강력한 공격이며 추가적으로 적의 방어력을 감소 시키는 궁극기입니다.	[0]金斗植的重拳可以一擊制敵，並降低其防御力。
[1]쿨타임: [CoolTime]초\n전체 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 [ContinueTime]초간 적의 방어력 [SkillAmount1]% 감소	[1]冷卻時間：[CoolTime]秒\n在整體範圍內進行傷害量[SkillAmount0]%的攻擊\n[ContinueTime]秒內目標防禦力降低[SkillAmount1]%
[0]각성 학생 김두식의 건달 핏으로 개량된 교복은 팀에게는 엄청난 방어력을 적에게는 치명타 피해량을 감소시킵니다.	[0]]覺醒學生金斗植的改良打鬥校服提供給隊友超高的防禦力，並降低敵人的暴擊傷害量。
[1]팀 전체의 방어력 [SkillAmount0]% 증가\n추가적으로 적의 치명타 피해량 [SkillAmount1]%감소	[1]全體隊友的防禦力增加[SkillAmount0]%\n敵人的暴擊傷害量降低[SkillAmount1]%
[0]각성 진태진은 극하단 회축에서 이어지는 용잡기로 강력한 연타공격을 합니다.	[0]覺醒陳太晨會從極下端迴旋踢後,緊接著施展鉗龍術來進行連擊攻擊。
[1]쿨타임: [CoolTime]초\n전방 2m 범위에 피해량 [SkillAmount0]%의 공격 4회	[1]冷卻時間：[CoolTime]秒\n在前方2m範圍內進行4次傷害量[SkillAmount0]%的攻擊
[0]각성 진태진의 움직임에 따라 주위의 땅이 솟아올라 적들을 강력하게 타격합니다.	[0]隨著覺醒陳太晨的移動其周圍的地面將會升起,\n並向目標進行強力攻擊。
[1]쿨타임: [CoolTime]초\n반경 4.5m 범위에 피해량 [SkillAmount0]%의 공격	[1]冷卻時間：[CoolTime]秒\n在半徑4.5m範圍內進行傷害量[SkillAmount0]%的攻擊
[0]각성 진태진의 진회축은 리뉴얼 태권도를 대표하는 강력한 궁극기입니다.	[0]覺醒陳太晨的真迴旋踢為新式跆拳道\n強大的代表技能。
[1]쿨타임: [CoolTime]초\n전체 범위에 피해량 [SkillAmount0]%의 공격	[1]冷卻時間：[CoolTime]秒\n在整體範圍內進行傷害量[SkillAmount0]%的攻擊
[0]각성 진태진은 백호부대의 대장으로서 그의 모든 공격은 강력한 피해를 입힙니다.	[0]覺醒陳太晨身為白虎部隊隊長, 他的所有攻擊都給目標造成強力傷害。
[1]자신의 공격 피해량 [SkillAmount0]% 증가\n추가적으로 기본 공격 시 피해량의 [SkillAmount1]% 추가 데미지	[1]自身攻擊傷害量增加[SkillAmount0]%\n基礎攻擊時造成傷害量的[SkillAmount1]%的額外傷害
[0]각성 우마왕은 강력한 펀치를 날려 적을 타격합니다. 또한 자신의 주위에 강력한 진공효과를 부여합니다.	[0]覺醒牛魔王將向目標揮動重拳進行攻擊,並給周圍賦予真空效果。
[1]쿨타임: [CoolTime]초\n전방 6m 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 [ContinueTime]초간 시전자의 주변 2m에\n강력한 진공 효과\n( 강력한 진공: 기존의 진공보다 강한 효과)	[1]冷卻時間：[CoolTime]秒\n在前方6m範圍內進行傷害量[SkillAmount0]%的攻擊\n在施展者周圍2m範圍內\n賦予[ContinueTime]秒的真空效果\n(真空：在持續時間內降低該範圍內目標的移動及攻擊速度)
[0]각성 우마왕은 파초를 휘둘러 전방의 적을 날려버립니다. 또한 자신의 주위에 강력한 강력한 진공효과를 부여합니다.	[0]覺醒牛魔王會揮動芭蕉將前方目標擊飛,並給周圍賦予真空效果。
[1]쿨타임: [CoolTime]초\n전방 9m 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 [ContinueTime]초간 시전자의 주변 2m에\n강력한 진공 효과\n( 강력한 진공: 기존의 진공보다 강한 효과)	[1]冷卻時間：[CoolTime]秒\n在前方9m範圍內進行傷害量[SkillAmount0]%的攻擊\n在施展者周圍2m範圍內\n賦予[ContinueTime]秒的真空效果\n(真空：在持續時間內降低該範圍內目標的移動及攻擊速度)
[0]각성 우마왕은 파초를 전력으로 휘둘러 회오리를 일으켜 적을 타격하며 추가적으로 강력한 진공효과를 부여하는 궁극기를 사용합니다.	[0]覺醒牛魔王全力揮動芭蕉產生的漩渦來攻擊目標。並造成真空效果。
[1]쿨타임: [CoolTime]초\n전체 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 [ContinueTime]초간 시전자의 주변 2m에\n강력한 진공 효과\n( 강력한 진공: 기존의 진공보다 강한 효과)	[1]冷卻時間：[CoolTime]秒\n在整體範圍內進行傷害量[SkillAmount0]%的攻擊\n在施展者周圍2m範圍內\n賦予[ContinueTime]秒的真空效果\n(真空：在持續時間內降低該範圍內目標的移動及攻擊速度)
[0]각성 우마왕의 리더쉽은 적의 방어력을 감소시키고 자신의 치명타율을 증가 시킵니다.	[0]擁有領導才能的覺醒牛魔王將減少全體目標的防禦力,同時提升自身的暴擊率。
[1]적군 전체의 방어력 [SkillAmount0]% 감소\n추가적으로 자신의 치명타율 [SkillAmount1]%증가	[1]全體目標的防禦力減少[SkillAmount0]%\n自身暴擊率追加[SkillAmount1]%
[0]리뉴얼 태권도의 기술인 화랑으로 전방 넓은\n범위의 적을 공격 후 출혈 효과를 부여합니다.	[0]覺醒獨臂陳太晨使用新式跆拳道技術的花郎攻擊前方的敵人後，以一定的機率造成出血效果。
[1]쿨타임: [CoolTime]초\n전방 9m 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 피해량 [SkillAmount1]%의 출혈 [ContinueTime]초	[1]冷卻時間：[CoolTime]秒\n在前方9米範圍內進行傷害值[SkillAmount0]％的攻擊\n額外有[SkillRatio1]％的機率造成傷害值的[SkillAmount1]％的出血傷害，持續[ContinueTime]秒
[0]리뉴얼 5연각은 전방 좁은 범위의 적을 5회\n공격 후 출혈 효과를 부여 합니다.	[0]覺醒獨臂陳太晨五連腳會攻擊前方較窄範圍內的敵人5次，並造成出血效果。
[1]쿨타임: [CoolTime]초\n전방 2m 범위에 피해량 [SkillAmount0]%의 공격 5회\n추가적으로 피해량 [SkillAmount1]%의 출혈 [ContinueTime]초	[1]冷卻時間：[CoolTime]秒\n對前方2米範圍內進行5次傷害值為[SkillAmount0]％的攻擊
[0]무반동회축은 반동을 없애 힘을 흘리지 않고\n적을 공격하여 피해를 입히고 출혈 효과를\n부여하는 궁극기입니다.	[0]無反作用迴旋踢是覺醒獨臂陳太晨消除反作用力，不失去任何動能進行攻擊的技能，會造成出血效果。
[1]쿨타임: [CoolTime]초\n전체 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 피해량 [SkillAmount1]%의 출혈 [ContinueTime]초	[1]冷卻時間：[CoolTime]秒\n全體範圍內進行傷害值為[SkillAmount0]％的攻擊，\n並造成傷害值的[SkillAmount1]％的出血效果，持續[ContinueTime]秒
[0]각성 외팔 진태진은 무투의 새로운 경지에\n오른 후 팀 전체의 무투 공격력을 증가 시키고\n추가 피해를 줍니다.	[0]達到了武鬥的新境界的覺醒獨臂陳太晨使用的無泄之力會降低敵人的武鬥抵抗力，增加自己的武鬥攻擊力。
[1]팀 전체의 무투 공격력 [SkillAmount0]% 증가\n추가적으로 팀 전체가 기본 공격 시 피해량의\n[SkillAmount1]% 추가 데미지	[1]增加自身[SkillAmount0]％的武鬥攻擊力\n額外降低敵人武鬥抵抗力[SkillAmount1]％
[0]판도라 속성을 이용한 기술로써 반경 넓은\n범위의 적을 공격한 후 확률적으로 침묵효과를 부여합니다.	[0]覺醒潘多拉的禁制是利用了潘多拉屬性的技能，會攻擊廣闊範圍內的敵人後以一定機率造成沉默效果。
[1]쿨타임: [CoolTime]초\n반경 4.5m 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 [SkillRatio1]%의 확률로 [ContinueTime]초간 침묵\n(침묵: 스킬 사용불가)	1冷卻時間：[CoolTime]\n半徑4.5米內進行傷害值為[SkillAmount0]%的攻擊\n額外有[SkillRatio1]%的機率造成持續[ContinueTime]％秒的沉默效果\n（沉默：無法使用技能）
[0]전방 넓은 범위의 적을 공격한 후 확률적으로 침묵효과를 부여합니다.	[0]潘多拉的詛咒會對前方廣闊範圍內的敵人造成傷害，並以一定機率造成沉默效果。
[1]쿨타임: [CoolTime]초\n전방 9m 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 [SkillRatio1]%의 확률로 [ContinueTime]초간 침묵\n(침묵: 스킬 사용불가)	[1]冷卻時間：[CoolTime]秒\n前方9米範圍內進行傷害值為[SkillAmount0]%的攻擊\n額外有[SkillRatio1]％的機率造成持續[ContinueTime]秒的沉默效果\n（沉默：無法使用技能）
[0]판도라의 권능을 사용하여 모든 범위의 적을\n공격하고 침묵효과를 부여하는 궁극기입니다.	[0]使用覺醒潘多拉的權能來攻擊全體範圍內的敵人。並以一定機率造成沉默效果。
[1]쿨타임: [CoolTime]초\n전체 범위에 피해량 [SkillAmount0]%의 공격\n추가적으로 [ContinueTime]초간 침묵\n(침묵: 스킬 사용불가)	[1]冷卻時間：[CoolTime]秒\n全體範圍內進行傷害值為[SkillAmount0]%的攻擊\n額外有[SkillRatio1]％的機率造成持續[ContinueTime]秒的沉默效果\n（沉默：無法使用技能）
[0]각성 판도라 리수진은 팀원이 받는 기본 공격을\n반사 시키고 팀원이 받는 모든 스킬 피해를\n감소시킵니다.	[0]用覺醒潘多拉的物理法則操縱功能來反射隊伍受到的借力攻擊，並減少隊友受到的所有技能傷害。
[1]팀원이 받는 기본 공격 피해의 [SkillAmount0]% 반사\n(스킬 피해 제외)\n추가적으로 팀원이 받는 모든 스킬 피해량\n[SkillAmount1]% 감소	[1]反射隊伍借力攻擊傷害值的[SkillAmount0]% (技能除外)\n並額外降低全體隊伍受到的技能傷害值[SkillAmount1]%
감소	減少
[Season]동안 디버프 효과를 받는 영웅입니다.	[Season]期間獲得減弱效果的英雄。
디버프 효과를 받는 영웅이 없습니다.	沒有獲得減弱效果的英雄。
버프 영웅	增益英雄
디버프 영웅	減弱英雄
[Season]동안 버프 효과를 받는 영웅입니다.	[Season]期間獲得增益效果的英雄。
버프 효과를 받는 영웅이 없습니다.	沒有獲得增益效果的英雄。
버프/디버프영웅	增益/減弱英雄
영웅을 소환하고, 에너지와 골드를 구매 할 수 있는	可以用於召喚英雄，購買能量和金幣的
"루비"를 구매할 수 있습니다.\n	“紅鑽”。\n
닉네임 변경과 길드명/길드 엠블럼을 변경할 수 있습니다.	可以進行暱稱、公會名及公會徽章的變更。
상점에서는 GOH에서 도움이 되는 많은 상품을 구매 할 수 있습니다.\n	在商店可以購買很多有助於遊戲的商品。\n
높은 할인율을 자랑하는 G.O.H의 특별한 상품입니다.	超實惠的《高校之神》特別商品。
하지만! 한정된 수량만을 판매합니다. 서두르세요.\n	該為限量販售禮包,要把握機會哦。\n
모험 시 필수적으로 사용됩니다.\n	冒險所需商品。\n
영웅과 룬을 강화할때 사용할 수 있습니다.\n	強化英雄和符文所需商品。\n
영웅을 소환하고, 에너지와 골드를 구매 할 수 있는	可以購買召喚英雄,
"루비"를 구매할 수 있습니다.\n	且還可以購買能量和金幣。\n
모험점령전에서 획득한 점령 포인트로 ''진화석"을 구매할 수 있습니다.\n	在冒險區佔領戰獲得的佔領積分可以購買“進化石”。\n
- 자동교체 : 선택한 슬롯의 영웅이 교체됩니다.	- 自動更換：選擇的槽位的英雄進行切換。
* 기타	*其他
닉네임 변경과 길드명/길드 엠블럼을 변경할 수 있습니다.	可以進行暱稱及公會名/公會徽章的變更。
강화전용 영웅 "꿀이"는\n펫 슬롯을 열 수 없습니다.	強化專用英雄“寶豬”\n無法解鎖寵物插槽。
매우 어려움	非常困難
열쇠대전은 각성열쇠를 획득 할 수 있는 컨텐츠 입니다.\n	鑰匙對戰為可以獲得覺醒鑰匙的遊戲模式。\n
- 열쇠대전은 총 10개의 경기장으로 구성되어 있고,	- 鑰匙對戰由10個競技場構成，
쉬움, 보통, 어려움, 매우 어려움의 4가지 난이도를 선택할 수 있습니다.\n	可以選擇簡單，普通，困難，非常困難4種難度。\n
- 클리어 횟수에 따라 다양한 보상을 획득 할 수 있으며	- 根據通關次數可以獲得各種獎勵
난이도가 높을수록 획득 보상량이 증가합니다.\n	難度越高，獲得的獎勵越豐厚。\n
- 전투는 3:3 팀대전 방식으로 진행되며 최소 한명의 영웅이 필요하며	- 戰鬥以3對3的組隊戰進行，至少需要一個英雄參加
클리어 시 사용된 영웅은 사용할 수 없게 됩니다.	通關後，已使用的英雄無法再次使用。
(사용된 영웅은 동일 진화계열 영웅 모두 포함)\n	（已使用的英雄包含所有同一進化系列的英雄）\n
- 루비를 사용하여 1일 1회에 한하여 초기화를 할 수 있습니다.\n	- 每日限定可用紅鑽來進行重置1次。\n
- 여러 영웅을 사용하여 열쇠대전을 클리어하고 각성열쇠와 함께	- 使用多名英雄來通關鑰匙對戰，
다양한 보상을 획득하여 영웅을 성장시켜 보세요!!\n	獲得覺醒鑰匙和更多獎勵來強化您的英雄！\n
각성 열쇠 보상 2배 증가	覺醒鑰匙獎勵增加2倍
이용약관/개인정보 수집/이용동의	Terms of Use / Personal Information Collection / Use Agreement
게임 이용약관	Terms of Use
개인정보 수집/이용 동의	Personal Information Collection / Use Agreement
보기	Read
홍보성 알림 수신 동의(선택)	Opt-in to receive promotional notices (optional)
홍보성 야간(21:00~08:00)알림 수신\n동의(선택)	Publicity Night (from 21:00 to 08:00) Notification of acceptance (optional)
위 내용에 모두 동의합니다.	I agree with all of the above.
집중력 감소	集中值減少
날카로운 창	尖銳的矛
단단한 철벽	銅墻鐵壁
꾸준한 수련	潛心修煉
기의 흐름	氣的流動
모든 전투에서 적군의 치명타 피해량이 감소합니다.	所有戰鬥中敵人的暴擊傷害降低。
모든 전투에서 적군의 막기 방어량이 감소합니다.	所有戰鬥中敵人的格擋防御力降低。
모든 전투에서 영웅의 철벽이 증가합니다.	所有戰鬥中英雄的鐵壁增加。
모든 전투에서 영웅의 고유스킬 피해량이 증가합니다.	所有戰鬥中英雄的固有技能傷害量增加。
모든 전투에서 영웅의 궁극스킬 피해량이 증가합니다.	所有戰鬥中英雄的終極技能傷害量增加。
모든 전투에서 영웅의 점혈이 증가합니다.	所有戰鬥中英雄的點穴增加。
소인이 대신해서 싸우겠소	小人來代替戰鬥吧。
빚은 여기서 갚겠습니다.	舊債就此還清。
일반 장비 각성의 결정	一般裝備覺醒结晶
빛나는 장비 각성의 결정	光輝裝備覺醒结晶
신비한 장비 각성의 결정	神秘裝備覺醒结晶
[8b8b8b]장비 각성 성공 확률을\n"약간" 올려주는 재료입니다.	[8b8b8b]“稍微”提高\n裝備覺醒機率的材料。
[8b8b8b]장비 각성 성공 확률을\n"많이" 올려주는 재료입니다.	[8b8b8b]“較大”提高\n裝備覺醒機率的材料。
[8b8b8b]장비 각성 성공 확률을\n"아주 많이" 올려주는 재료입니다.	[8b8b8b]“巨幅”提高\n裝備覺醒機率的材料。
[8b8b8b]장비 각성 성공 시 획득 가능한 능력치의\n최소값을 "약간" 올려주는 재료입니다.	[8b8b8b]“稍微”提高裝備覺醒時\n可獲得屬性的最小值的材料。
[8b8b8b]장비 각성 성공 시 획득 가능한 능력치의\n최소값을 "많이" 올려주는 재료입니다.	[8b8b8b]“較大”提高裝備覺醒時\n可獲得屬性的最小值的材料。
[8b8b8b]장비 각성 성공 시 획득 가능한 능력치의\n최소값을 "아주 많이" 올려주는 재료입니다.	[8b8b8b]“巨幅”提高裝備覺醒時\n可獲得屬性的最小值的材料。
각성재료	覺醒材料
각성재료 정보	覺醒材料資訊
최소 {0}이상 보장!!	保證至少{0}以上！
광물	礦石
결정	結晶
장비 각성에 사용되는 재료입니다.	用於裝備覺醒的材料。
장신구 각성에 사용되는 재료입니다.	用於飾品覺醒的材料。
장비 각성 성공 확률을\n"약간" 올려주는\n재료입니다.	[8b8b8b]“稍微”提高\n裝備覺醒機率的材料。
장비 각성 성공 확률을\n"많이" 올려주는\n재료입니다.	[8b8b8b]“較大”提高\n裝備覺醒機率的材料。
장비 각성 성공 확률을\n"아주 많이" 올려주는\n재료입니다.	[8b8b8b]“巨幅”提高\n裝備覺醒機率的材料。
장비 각성 성공 시\n획득 가능한 능력치의\n최소값을 "약간"\n올려주는 재료입니다.	[8b8b8b]“稍微”提高裝備覺醒時\n可獲得屬性的最小值的材料。
장비 각성 성공 시\n획득 가능한 능력치의\n최소값을 "많이"\n올려주는 재료입니다.	[8b8b8b]“較大”提高裝備覺醒時\n可獲得屬性的最小值的材料。
장비 각성 성공 시\n획득 가능한 능력치의\n최소값을 "아주 많이"\n올려주는 재료입니다.	[8b8b8b]“巨幅”提高裝備覺醒時\n可獲得屬性的最小值的材料。
협공전	協力戰
협공 포인트	協攻積分
나의 기여도	我的貢獻度
전투가능횟수 : {0}	戰鬥可能次數 : {0}
길드순위	公會排名
{0}단계	{0}階段
지원	支援
길드 순위 보상	公會排名獎勵
길드 순위에 따라 보상을 획득하며 참가한 길드원들은 기여도에 따라 보상이 차등 분배됩니다.	根據公會排名獲得的獎勵，會按照參與的公會成員的貢獻度分配。
분배 시 1개 미만의 획득 개수는 제외되며 참여 인원에 따라 보상 비율이 조정됩니다.	分配時將除去獲得個數不足1個的部份，並且根據參與人員，獎勵比例也會適當調整。
보스 클리어 보상	魔王通關獎勵
각 단계별 보스를 클리어하면 해당 보물 상자를 획득할 수 있습니다.	打敗各階段的魔王後，會獲得對應的寶箱獎勵。
보물상자는 보스 클리어 시점에 모든 길드원들에게 우편함으로 지급됩니다.	寶箱會在通關的同時發送到所有公會成員的信箱。
개인 참여 보상	個人參與獎勵
보스 협공전 참여 시 개인이 획득하는 보상입니다.	魔王協力戰時作為個人獲得的獎勵。
참여 보상 포인트는 보스 협공전 완료 시 자동으로 누적됩니다.	參與獎勵積分在魔王協力戰結束時自動累積。
{0}위	第{0}名
{0}단계 클리어!!	{0}階段通關！
보스 협공전 포인트	魔王協力戰積分
지원 영웅	支援英雄
지원 횟수	支援次數
길드원들이 나의 지원 영웅을 사용하면 보상을 획득할 수 있습니다.	公會員使用我的支援英雄時，可以獲得獎勵。
보상은 매일 보스 협공전 종료 이후 우편함으로 지급됩니다.	獎勵在每日魔王協力戰結束後發送到信箱。
진행중인 보스 협공전을 종료하면\n현재 획득한 점수는 사라지고\n재도전 할 수 있습니다.	中途退出魔王協力戰時\n當前獲得的積分會消失\n並且可以再次挑戰。
획득 보상 없음	無獲得獎勵
[ffca01]{0}[-]님이 보스 협공전 [ffca01]{1}단계[-]를 클리어했습니다!!	[ffca01]{0}[-]通關了魔王協力戰[ffca01]第{0}階段[-]！
이전 기록이 없습니다.\n	沒有歷史記錄。\n
지원 영웅이 없습니다.	沒有支援英雄。
궁극스킬	終極強化
협공 포인트가 부족합니다.	★update★
선택한 지원 영웅은\n이미 사용되었습니다.	★update★
보스 협공전 시즌 시작!	魔王協力戰賽季開始！
새로운 보스 협공전은 "0점으로 초기화"되며	新的魔王協力戰會“重置為0分”
플레이 해야만 보상을 받을 수 있습니다.	需要進行遊戲才能獲得獎勵。
보스 협공전 시즌 종료!	魔王協力戰賽季結束！
보스 협공전 시즌이 종료되었습니다.	魔王協力戰賽季已經結束。
기여도에 따라 보상을 받을 수 있습니다.	根據貢獻度可獲得獎勵。
1위	第1名
2위	第2名
3위	第3名
4위	第4名
5위	第5名
6위	第6名
7위	第7名
8위	第8名
9위	第9名
10위	第10名
11~20위	第11~20名
21~30위	第21~30名
31~40위	第31~40名
41~50위	第41~50名
51~60위	第51~60名
61~70위	第61~70名
71~80위	第71~80名
81~90위	第81~90名
91~100위	第91~100名
101~150위	第101~150名
151~200위	第151~200名
201~250위	第201~250名
251~300위	第251~300名
301~400위	第301~400名
401~500위	第401~500名
501위 이상	第501名以上
1단계 클리어!!	1階段通關！
2단계 클리어!!	2階段通關！
3단계 클리어!!	3階段通關！
4단계 클리어!!	4階段通關！
5단계 클리어!!	5階段通關！
The six	The Six
5성 장신구	5星飾品
5성 펫	5星寵物
6성 장신구	6星飾品
6성 펫	6星寵物
행운의 상자	幸運寶盒
초급 행운의 상자	初級幸運寶盒
중급 행운의 상자	中級幸運寶盒
고급 행운의 상자	高級幸運寶盒
추가로 랜덤보상\n1종 획득!!	額外獲得1種\n隨機獎勵！！
획득할 보상을 선택해 주세요	請選擇要獲得的獎勵
펫소환권	寵物召喚券
5~6성|1더식스영웅|2소환권	5~6星|The Six英雄|2召喚券
초급 행운의 상자 보상으로 [rewardtype][amount]개를 받았습니다.	在初級幸運寶盒中獲得了[amount]個[rewardtype]獎勵。
초급 행운의 상자 보상으로 [rewardtype]을 받았습니다.	在初級幸運寶盒中獲得了[rewardtype]獎勵。
중급 행운의 상자 보상으로 [rewardtype][amount]개를 받았습니다.	在中級幸運寶盒中獲得了[amount]個[rewardtype]獎勵。
중급 행운의 상자 보상으로 [rewardtype]을 받았습니다.	在中級幸運寶盒中獲得了[rewardtype]獎勵。
고급 행운의 상자 보상으로 [rewardtype][amount]개를 받았습니다.	在高級幸運寶盒中獲得了[amount]個[rewardtype]獎勵。
고급 행운의 상자 보상으로 [rewardtype]을 받았습니다.	在高級幸運寶盒中獲得了[rewardtype]獎勵。
보스협공전 클리어 보상	魔王協力戰通關獎勵
보스협공전 {0}단계 클리어 보상으로 [ffca01][grade] 상자[-]를 받았습니다.	作為魔王協力戰{0}階段通關獎勵，獲得了[ffca01][grade]等級寶箱[-]。
보스협공전 순위 보상	魔王協力戰排名獎勵
보스협공전 [ffca01][Ranking]위[-] 보상으로 [reward] 받았습니다.	作為魔王協力戰排名第[ffca01][Ranking]名[-]獲得了[reward]獎勵。
순차 모험	依序冒險
순차 모험중	依序冒險中
순차 모험을 종료하시겠습니까?	確定要終止依序冒險嗎?
순차 모험이 중지되었습니다.	依序冒險已被中止。
지난 시즌 팀대전 레전드 [ffca01][Nickname][-]님이 입장하셨습니다.	前賽季組對戰傳奇[ffca01][Nickname][-]入場。
지난 시즌 영웅대전 레전드 [ffca01][Nickname][-]님이 입장하셨습니다.	前賽季英雄對戰傳奇[ffca01][Nickname][-]入場。
