나를 지켜줘	十里重生
- 이벤트 보상은 11/1(목)부터 우편함으로 순차 발송되며 보상 지급 안내 공지를 통해 당첨자와 함께 안내해드릴 예정입니다.	- 活動獎勵預計將於11/1(週四)起依序發送至遊戲內信箱。並透過公告進行活動結果及得獎者通知。
1회 출석: 정화의 결정 100a	第1天簽到:淨化晶石100a
2회 출석: 보석 500개	第2天簽到:500個寶石
3회 출석: 던전 열쇠 10개	第3天簽到:10個迷宮鑰匙
4회 출석: 강화석 100개	第4天簽到:100個強化石
5회 출석: 던전 열쇠 20개	第5天簽到:20個迷宮鑰匙
6회 출석: 보석 1000개	第6天簽到:1000個寶石
7회 출석: 마술사 에리카 1개	第7天簽到:魔法師艾麗卡1個
※ 계정당 1회 참여할 수 있습니다.	※ 每帳號僅能參加1次
※ 출석체크는 이벤트 시간 내(22:00~24:00) 게임 접속 시 인정됩니다.	※ 簽到活動僅承認於活動期間(21：00～23：00)登入遊戲的遊戲紀錄。
※ 누적일수에 따라 순차적으로 출석하실 수 있습니다.	※ 可依據累積日數進行遊戲登入。
※ 게임 플레이 도중 "할로윈의 밤"이 될 시 정상적인 출석 체크를 위해 재접속 부탁드립니다.	※ 進行遊戲時，為了正確反映活動進度，請於活動期間重新登入遊戲。
※ 해당 코스튬을 보유 중일시 보상이 변경될 수 있습니다.	※ 持有加贈服飾時，獎勵將有可有所變更。
불편을 끼쳐 드려 죄송하다는 말씀 드립니다.	首先對替各位玩家帶來不便至上歉意。
현재 로그아웃 후 재로그인 시	目前登出遊戲後，再度登入遊戲時，
접속 불가한 현상이 발생하여	將無法再度登入遊戲內。
정확한 원인을 확인하고 있습니다.	目前我們正在查找問題原因。
상세 내용은 아래를 참고해주십시오	詳細內容請參考下列內容。
특정 상황에서 로그인 불가 현상	特殊狀況下無法登入遊戲現象
일시 : 10/24(수) 16:10~	時間：10/24　15：10～
내용 : 로그아웃 후 재로그인 시 접속 불가 현상	內容：離開遊戲後再度登入時無法進入遊戲。
수정 완료 시 해당 공지를 통해	當此問題現象修正完畢時，
다시 안내해 드릴 예정입니다.	我們將透過此公告再次通知。
게임 이용에 다시 한번 불편을 끼쳐 사과의 말씀 드리며	再次對替各位玩家帶來不便至上歉意。
안정적인 게임 환경을 제공하기 위해 더욱 노력 하겠습니다.	我們將努力提供更安全舒適的遊戲環境。
에리카 언니가 즐겨 먹는 화끈한 매운맛 쿠키	艾麗卡姊姊喜歡吃的辣味餅乾
아론님표 특제! 달콤달달 초콜릿	亞倫先生特製！超甜巧克力
유이나 언니가 준비한 새콤~한 사탕	尤伊娜姊姊準備的酸甜糖果
고대 수호자는 할로윈을 모른다. 나는 장난을 당하겠다.	古代守護者不知道什麼是萬聖節。那就搗蛋吧！
캐릭터 레벨만 올려서는 어느 순간 더 나아가지 못하고 쓰러지는 구간이 생겨요. (´；ω；｀)	僅僅升級角色一般等級，走到某個程度時，會經不起攻擊而倒下呢(´；ω；｀)
이때 용의 소녀 유이나의 마법으로 환생하면	此時只要利用龍之少女尤伊娜的魔法進行重生，
파티원의 잠재력을 깨워 더 강해질 수 있답니다!	喚醒隊員們的潛在能力，就能變得更強大唷！
- 환생	- 重生
이 아이콘을 눌러 환생을 진행할 수 있습니다.	點擊此按鍵即可進行重生。
: 스테이지 20 이상 진행 시 환생 아이콘이 생기고,	: 進行關卡20以上的關卡時會顯示重生按鍵，
: 환생하면 영혼을 획득할 수 있습니다.	: 重生時可獲得靈魂。
: 보석을 사용하여 환생하면 영혼 및 보상을 2배로 획득할 수 있습니다.	: 使用寶石進行重生時，可獲得2倍的靈魂及獎勵。
※ 환생 효과: 캐릭터 레벨이 1로 초기화됩니다.	※ 重生效果: 角色等級將會重置為1
이전 스테이지 진행 정도에 따라 영혼을 획득할 수 있습니다.	依據重生前抵達的關卡高低獲得靈魂。
캐릭터 레벨과 정화의 결정을 제외한 모든 자산은 그대로 유지됩니다.	除了一般等級及淨化晶石會重置外，其他資產將維持原樣。
귀환 시 용의 소녀 유이나가 정화의 결정을 흡수하는 시간이 1초씩 빨라집니다. (최대 50초)	重生時，龍之少女尤伊娜吸收淨化晶石的時間將會增快1秒。(最多增快50秒)
앗! “환생하고 강해지시겠습니까?” 창이 나타났네요!	啊!“是否要重生變強？”的彈窗顯示了呢!
이 메뉴를 통해 환생하면 영혼을 얻을 수 있는데요~	透過這個選單進行重生，就可以獲得靈魂唷～
획득한 영혼은 캐릭터 메뉴에서 확인할 수 있습니다.	所獲得的靈魂，可在角色選單進行確認。
영혼으로 상승한 캐릭터의 기본 능력치는 다시 환생해도 유지되니	使用靈魂提昇的角色基本能力值，在重生時也不會被影響，
걱정하지 마시고 환생하세요!	就放心重生吧！
- 영혼	- 靈魂
: 현재 보유 중인 영혼은 캐릭터 메뉴 우측 상단에서 확인할 수 있습니다.	: 目前持有的靈魂，可在角色選單的右上進行確認。
: 영혼을 사용하여 캐릭터의 등급과 스킬 레벨을 상승시킬 수 있습니다.	: 使用靈魂可提昇英雄等級及技能等級。
2-1. 캐릭터 등급 업	2-1. 升級英雄等級(星級)
캐릭터의 등급을 상승시키면 등급에 따라 새로운 스킬을 획득할 수도 있어요!	提昇英雄等級(星級)上升時，隨著英雄等級(星級)提昇，亦有可能習得新的技能唷！
이렇게 획득한 스킬도 등급 상승이 가능하답니다. ヽ(๑╹▽╹๑)ノ	而獲得的技能也能夠進行等級提昇呢。ヽ(๑╹▽╹๑)ノ
- 캐릭터 등급 업	- 升級英雄等級(星級)
: 캐릭터 등급 업 시 캐릭터의 기본 능력치가 상승합니다.	: 英雄等級(星級)升即時，基本能力值將會提昇。
: 캐릭터의 등급에 따라 새로운 스킬 등급을 상승시킬 수 있습니다.	: 新技能的等級將依據英雄等級開放升級範圍。
2-2. 스킬	2-2. 技能
용의 소녀 유이나는 기사님을 도와드릴 수 있는 다양한 마법을 사용할 수 있어요.	龍之少女尤伊娜可以使用協助騎士您的各種技能。
강한 마물을 만났을 때 이 마법을 통해	遭遇強大怪物時，可透過尤伊娜的魔法一時增強
파티원의 공격력과 방어력을 증가시켜 위기를 극복할 수도 있고,	隊員們的攻擊力及防禦力來通過關卡，
파티원이 쓰러지기 전에 치유할 수도 있죠!	或者在隊員們倒下之前進行治療！
- 용의 소녀 스킬1. 소녀의 기도	- 龍之少女技能1.少女的祈禱
: 에너지를 소모하여 파티원의 공격력과 방어력을 일정 시간 증가시킵니다.	: 消耗能量時將會於短時間內提升隊員們的攻擊力、防禦力。
: 유이나 초상화 우측 상단 아이콘을 선택하여 사용할 수 있습니다.	: 點擊尤伊娜頭像旁上方的圖示即可使用。
- 용의 소녀 스킬2. 치유의 손길	- 龍之少女技能2.治癒技能
: 에너지를 소모하여 파티원의 HP를 회복시킵니다.	: 消耗能量時將恢復隊員的HP。
: 유이나 초상화 우측 하단 아이콘을 선택하여 사용할 수 있습니다.	: 點擊尤伊娜頭像旁下方的圖示即可使用。
그중에서 가장 짱짱인 마법은 바로 차원문 개방이 아닐까요?	在這些魔法中最讚的就是開啟傳送門了吧?
이 차원문 개방을 사용하면 진행했던 스테이지를 빠르게! 돌파할 수 있다구요!	使用這個傳送門就可以快速地！通過曾經通過的關卡呢！
- 용의 소녀 스킬3. 차원문 개방	- 龍之少女技能3.開啟傳送門
: 일정 확률로 자연의 기운을 소모하여 차원문을 개방해 스테이지를 빠르게 진행할 수 있습니다.	: 以一定的機率消耗自然之力，即可開啟傳送門快速通關。
: 한계 스테이지 보다 더 높은 스테이지의 문은 개방할 수 없습니다.	: 無法開啟比極限關卡更高關卡的傳送門。
: 1회 귀환 후 개방할 수 있습니다.	: 重生1次後即可開放。
: 개방 중 스테이지 보상이 있을 시 모두 획득합니다.	: 目前開放中的關卡中，若有獎勵將可全數獲得。
기사님! 용의 소녀 유이나의 스킬도 좋지만	騎士大人！雖然龍之少女尤伊娜的技能很不錯，
모든 캐릭터도 각자의 스킬을 보유하고 있답니다!	但其他英雄也都有各自的技能唷！
- 캐릭터 스킬	- 英雄技能
: 영혼을 소모하여 캐릭터의 스킬 레벨을 올릴 수 있습니다.	: 使用靈魂可提昇英雄技能等級。
: 캐릭터의 등급이 올라가면 스킬 레벨 상한이 상승합니다.	: 技能的等級將依據英雄等級級數開放升級範圍。
: 캐릭터 스킬을 상승시키면 파티에 참가한 해당 캐릭터에게 효과가 적용됩니다.	: 提昇英雄的技能等級時，其英雄上陣時將適用其技能效果。
- 파티원 스킬	- 隊員技能
: 파티원 대상 스킬은 해당 캐릭터가 파티에 참가하지 않더라도 모든 파티원에게 효과가 적용됩니다.	: 以隊員為對象的技能，就算不讓持有其技能的英雄上陣，仍可對全體隊員適用其技能效果。
※ Ex. 파티원 공격력, 파티원 이동 속도 등	※ Ex. 隊員移動速度、隊員攻擊速度等等技能
그러니 더 빠른 진행을 위해서는 파티원 스킬도 빼먹을 수는 없겠죠? ٩(^ω^)و	所以為了更快速的通關，可不要忘了提昇隊員技能唷～٩(^ω^)و
앗, 기사님! 다른 일이 있으셔서 계속 모험을 진행하시기 힘드시다구요?	啊，騎士大人！是不是常常有別的事要忙，沒辦法專心冒險呢？
걱정하지 마세요! 오프라인 모드가 있으니까요!	請放心吧！十里重生還有離線模式呢！
오프라인 모드의 설명은 다음 가이드로, 슝~!	關於離線模式的介紹指南，就待我們下回揭曉囉～！
나를 지켜줘 ios 오픈 안내	十里重生iOS版發行通知
기사님들 기다리셨죠?	各位騎士大人久等了!
이제 ios마켓에도	現在在iOS商店中，
나를 지켜줘가 정식 서비스를 개시합니다!	也能夠下載十里重生了唷！
끝나지 않는 모험속으로 go!	快前往無止盡的冒險吧！
■나지켜 ios정식서비스 일정	■十里重生 ios正式營運日程
- 10월26일(목) 09:30	- 10月26日(週五) 08:30
■나지켜 ios 다운로드 링크	■十里重生 ios 下載網址
- App Store：10월26일(목) 09:30　 [다운링크]	- App Store：10月26日(週五) 08:30
■나지켜 계정 연동 방법	■十里重生帳號連動方法
나지켜는 페이스북, E-mail을 이용해서 연동이 가능합니다.	十里重生可利用Facebook, E-mail進行帳號連動。
-연동방법：메인화면▶설정▶계정 연동	-連動方法：遊戲主畫面▶設定▶連結帳戶
※ 게스트 계정은 기기변경이나 앱을 삭제할 시 게임 정보가 삭제될 우려가 있기에	※ 在更換手機或刪除應用程式時，遊客帳號的遊戲數據可能會一同被刪除，
계정 연동 후에 플레이를 권해드립니다.	在此建議玩家使用帳號連結進行綁定。
[공지] 카모르의 은총 판매 관련 안내	卡莫的恩寵販賣關連通知
10/26(금) 오전 진행된 임시 점검 후,	在10月26號（週五）臨時維護結束後，
상점의 용의 소녀 탭에서 구매할 수 있었던	原可在龍之少女商店中購買的
[카모르의 은총]과 [카모르의 가호] 판매가 종료되었는데요.	[卡莫的恩寵]及[卡莫的庇佑]商品已結束了販賣。
3배속급 전투 보다 우선되어 적용되는 현상이 발생하여	比新手禮包中的3倍速戰鬥優先適用的問題，
이는, 카모르 상품의 2배속급 전투가 웰컴 패키지의	此次中止販賣是因為發生此商品中的2倍速加速戰鬥
많은 기사 여러분께 혼동을 안겨드리게 되었기 때문입니다.	造成各位騎士們的困擾而進行了販賣中止的決策。
그러나 판매 종료 소식을 더욱 일찍 전해드리지 못하였던 점과	然而因未能提早告知各位玩家販賣中止的消息，
정식 오픈일을 기준으로 [카모르의 가호]의 버프는 아직	以及仍有正在適用正式服務時所提供的[卡莫的庇佑]
유지되고 있는 점 등을 고려하여 차주 정기 점검 시까지	的玩家，至下週維護前為止，
[카모르의 은총] 아이템 판매를 재개하기로 결정하였습니다.	[卡莫的恩寵]將重新進行販售。
# 변경 내용	# 變更內容
- [카모르의 은총] 판매 재개 ( ~차주 정기 점검 시까지)	- [卡莫的恩寵] 重新開賣 ( ~至下週維護為止)
# [카모르의 은총] 구매 주의 사항	# [卡莫的恩寵] 購買注意事項
- 웰컴 패키지의 3배속급 전투보다	- 比起新手禮包的3倍速戰鬥，
카모르의 은총의 2배속급 전투가 우선 적용됩니다.	卡莫的恩寵中提供的2倍速戰鬥會被優先適用。
차주 정기 점검으로 [카모르의 은총] 아이템 판매가 종료된 후에는	於下週定期維護結束[卡莫的恩寵]後，
기사 여러분을 위하여 더욱 나은 아이템을 선보일 수 있도록	我們將會致力準備更優質的道具提供給各位玩家。
감사합니다.	謝謝。
게임 이용에 혼란을 드려 죄송하다는 말씀을 드리며,	再次對替各位玩家帶來不便至上歉意。
- 50개 달성: GM선물상자 1개	參加玩家突破50人時: GM禮物箱子 1個
- 100개 달성: 보석 400개	參加玩家突破100人時: 400寶石
- 200개 달성: 플래티넘상자 1개	參加玩家突破200人時: 白金箱子 1個
GM아맨다 입니다.	這裡是十里重生營運組。
